paciente_id,rut,nombre,apellido,fecha_nacimiento,sexo,comuna,prevision,fecha_registro
21,8.303.203-0,Aurora,Rivera,1991-09-29,F,Tortel,NINGUNA,2026-02-28 12:35:33.916666
22,19.887.381-0,Rodrigo,Aravena,1951-04-28,M,Vichuquén,NINGUNA,2026-02-28 12:35:33.916666
23,5.971.308-6,Magaly,Zapata,1943-02-17,F,Iquique,ISAPRE,2026-02-28 12:35:33.920000
24,14.843.789-0,Luis,Soto,1964-05-23,M,Quinta Normal,ISAPRE,2026-02-28 12:35:33.923333
25,9.884.511-9,Antonella,Pérez,1956-08-13,F,Ñuñoa,NINGUNA,2026-02-28 12:35:33.940000
26,23.989.394-5,Estefanía,Quiñones,1986-05-25,F,Las Condes,FONASA,2026-02-28 12:35:33.943333
27,10.874.352-2,Luis,Salas,1945-05-16,M,Coinco,NINGUNA,2026-02-28 12:35:33.946666
28,13.080.906-5,Claudia,Torres,1973-11-12,F,Cunco,NINGUNA,2026-02-28 12:35:33.950000
29,12.790.951-2,Manuel,Castro,1971-05-19,M,Calama,NINGUNA,2026-02-28 12:35:33.953333
30,20.420.627-9,Consuelo,Contreras,1957-05-17,F,Pichilemu,NINGUNA,2026-02-28 12:35:33.956666
31,20.611.308-1,Sergio,Velásquez,2001-04-29,M,Coelemu,ISAPRE,2026-02-28 12:35:33.960000
32,7.478.394-5,José,Vargas,1970-01-22,M,Quinchao,ISAPRE,2026-02-28 12:35:33.963333
33,19.237.445-6,Julia,Silva,1986-12-22,F,Melipeuco,ISAPRE,2026-02-28 12:35:33.966666
34,15.137.521-9,Macarena,Bustamante,1953-07-22,F,Perquenco,ISAPRE,2026-02-28 12:35:33.970000
35,8.578.689-K,Claudia,Orellana,1956-02-21,F,Vichuquén,ISAPRE,2026-02-28 12:35:33.970000
36,24.287.487-0,Isolina,Iturra,1960-02-18,F,Futaleufú,NINGUNA,2026-02-28 12:35:33.973333
37,5.736.170-0,Liliana,Guerra,1996-06-25,F,Huara,NINGUNA,2026-02-28 12:35:33.976666
38,14.210.033-9,Sylvia,Bugueño,1940-07-20,F,Illapel,NINGUNA,2026-02-28 12:35:33.980000
39,21.667.401-4,Alexander,Valenzuela,1996-09-03,M,Lago Verde,ISAPRE,2026-02-28 12:35:33.983333
40,16.821.929-6,Benjamín,Godoy,1954-11-26,M,Monte Patria,NINGUNA,2026-02-28 12:35:33.986666
41,13.409.639-K,Sebastián,Uribe,1986-02-13,M,Maullín,NINGUNA,2026-02-28 12:35:33.990000
42,8.260.280-1,Juan,Díaz,2001-06-23,M,Calera,NINGUNA,2026-02-28 12:35:33.990000
43,15.366.067-0,Johnny,Martínez,1993-08-31,M,San Vicente,ISAPRE,2026-02-28 12:35:33.993333
44,24.447.269-9,Manuel,Riquelme,1964-10-29,M,Rancagua,NINGUNA,2026-02-28 12:35:33.996666
45,8.024.374-K,Carlos,Navarro,2001-11-24,M,Renca,ISAPRE,2026-02-28 12:35:34.000000
46,18.941.970-8,Anahí,Bustamante,1951-12-14,F,Puente Alto,FONASA,2026-02-28 12:35:34.000000
47,23.099.520-6,Cristian,Saavedra,1999-08-23,M,Camarones,ISAPRE,2026-02-28 12:35:34.003333
48,10.521.194-5,Marjorie,Méndez,1957-06-27,F,San Nicolás,ISAPRE,2026-02-28 12:35:34.006666
49,16.365.397-4,Carla,Saavedra,1994-09-23,F,El Carmen,FONASA,2026-02-28 12:35:34.010000
50,7.526.627-8,Norma,Lucero,1949-07-30,F,Freire,FONASA,2026-02-28 12:35:34.013333
51,23.700.308-K,Karen,Contreras,1964-11-21,F,Valdivia,FONASA,2026-02-28 12:35:34.016666
52,5.467.032-K,Génesis,Gutiérrez,1957-12-30,F,Primavera,NINGUNA,2026-02-28 12:35:34.020000
53,20.260.086-7,Sergio,Parra,1965-01-30,M,Lago Verde,NINGUNA,2026-02-28 12:35:34.020000
54,24.614.581-4,Almendra,Salas,1965-12-05,F,Huara,NINGUNA,2026-02-28 12:35:34.023333
55,8.635.491-8,Romina,Espinoza,1985-12-03,F,Pichidegua,FONASA,2026-02-28 12:35:34.026666
56,5.839.687-7,Virginia,Valdés,1982-02-27,F,Río Bueno,NINGUNA,2026-02-28 12:35:34.030000
57,12.427.850-3,Daniela,Lillo,1984-01-27,F,La Florida,FONASA,2026-02-28 12:35:34.030000
58,15.139.819-7,Consuelo,Guajardo,1984-03-06,F,Porvenir,ISAPRE,2026-02-28 12:35:34.033333
59,9.690.138-0,Mauricio,Contreras,1943-02-01,M,San José de Maipo,FONASA,2026-02-28 12:35:34.036666
60,21.529.739-K,Hilda,Allende,1947-11-26,F,Concepción,FONASA,2026-02-28 12:35:34.040000
61,23.037.071-0,Ricardo,Matamala,1949-03-25,M,Tirúa,ISAPRE,2026-02-28 12:35:34.043333
62,17.449.080-5,Dominga,Pavez,1985-08-17,F,Huechuraba,NINGUNA,2026-02-28 12:35:34.046666
63,24.707.871-1,Agustina,Barahona,1990-07-06,F,Villa Alemana,NINGUNA,2026-02-28 12:35:34.050000
64,18.921.214-3,Sergio,Silva,1984-07-26,M,Andacollo,FONASA,2026-02-28 12:35:34.050000
65,18.694.096-2,Fernanda,Palma,2003-11-26,F,Gorbea,ISAPRE,2026-02-28 12:35:34.053333
66,17.432.922-2,Luis,Lucero,1954-10-14,M,Maullín,ISAPRE,2026-02-28 12:35:34.056666
67,12.922.625-0,Silvana,Orellana,1998-03-19,F,Pichidegua,ISAPRE,2026-02-28 12:35:34.060000
68,17.325.715-5,Matías,Castro,1977-01-18,M,Santa María,NINGUNA,2026-02-28 12:35:34.060000
69,7.031.723-0,Emma,Lira,1967-02-03,F,Negrete,ISAPRE,2026-02-28 12:35:34.063333
70,9.098.999-5,Julio,Uribe,2004-07-30,M,Retiro,ISAPRE,2026-02-28 12:35:34.066666
71,12.117.090-6,Claudio,Quezada,1983-09-01,M,Villarrica,NINGUNA,2026-02-28 12:35:34.070000
72,6.697.133-3,José,López,1993-07-16,M,Hualaihué,ISAPRE,2026-02-28 12:35:34.073333
73,9.225.304-K,Ramón,Méndez,1993-07-21,M,Ninhue,NINGUNA,2026-02-28 12:35:34.076666
74,7.302.174-K,Franco,Tobar,1996-06-20,M,El Quisco,NINGUNA,2026-02-28 12:35:34.080000
75,24.675.751-8,Benjamín,Muñoz,1954-09-11,M,Santiago,FONASA,2026-02-28 12:35:34.080000
76,9.951.096-K,Inés,Vásquez,1993-08-31,F,Illapel,NINGUNA,2026-02-28 12:35:34.083333
77,14.303.799-1,Ignacio,Moreno,1998-05-31,M,Olivar,FONASA,2026-02-28 12:35:34.086666
78,23.126.622-4,Raúl,Durán,1957-01-21,M,Nancagua,FONASA,2026-02-28 12:35:34.090000
79,5.865.038-2,Enzo,Cabello,1948-12-19,M,San Nicolás,FONASA,2026-02-28 12:35:34.090000
80,12.983.659-8,Carmen,Toledo,1980-01-27,F,Puqueldón,ISAPRE,2026-02-28 12:35:34.093333
81,10.846.732-0,Daniel,Leiva,1958-01-21,M,Pelarco,FONASA,2026-02-28 12:35:34.096666
82,19.125.092-3,Eduardo,Díaz,1975-10-19,M,Santa María,FONASA,2026-02-28 12:35:34.100000
83,20.980.162-0,Jorge,Villalobos,1970-07-03,M,San Clemente,ISAPRE,2026-02-28 12:35:34.103333
84,20.166.785-2,Sebastián,Alvarado,1974-04-14,M,Cabo de Hornos,FONASA,2026-02-28 12:35:34.106666
85,22.496.999-6,Víctor,Berríos,1960-07-11,M,Purranque,ISAPRE,2026-02-28 12:35:34.110000
86,7.040.961-5,Sergio,Cáceres,1972-08-05,M,Alto Hospicio,ISAPRE,2026-02-28 12:35:34.110000
87,8.622.597-2,Verónica,Valdebenito,1973-05-12,F,Queilén,NINGUNA,2026-02-28 12:35:34.113333
88,7.465.939-K,Martina,Suárez,2001-03-12,F,San Rafael,FONASA,2026-02-28 12:35:34.116666
89,9.977.257-3,Pascal,Rodríguez,1944-06-20,F,Nogales,FONASA,2026-02-28 12:35:34.120000
90,24.641.579-K,Constanza,Manríquez,1977-04-25,F,El Bosque,NINGUNA,2026-02-28 12:35:34.120000
91,17.781.030-4,Pascal,Badilla,1980-08-26,F,Casablanca,NINGUNA,2026-02-28 12:35:34.123333
92,20.224.163-8,Katherine,Alvarado,1974-05-27,F,El Carmen,NINGUNA,2026-02-28 12:35:34.126666
93,8.327.876-5,Micaela,Donoso,1993-12-20,F,Perquenco,NINGUNA,2026-02-28 12:35:34.130000
94,23.499.740-8,Ignacio,Rojas,1989-01-19,M,Zapallar,FONASA,2026-02-28 12:35:34.130000
95,20.151.668-4,Ana,Martínez,2000-06-07,F,Cochrane,FONASA,2026-02-28 12:35:34.133333
96,16.372.657-2,Isidora,Arenas,1996-04-21,F,Vilcún,ISAPRE,2026-02-28 12:35:34.133333
97,18.958.296-K,María,Ojeda,1989-08-25,F,Valdivia,FONASA,2026-02-28 12:35:34.136666
98,19.319.823-6,Teresa,Toledo,1961-04-07,F,Diego de Almagro,NINGUNA,2026-02-28 12:35:34.140000
99,17.559.458-2,Lucía,Olea,2004-11-21,F,Juan Fernández,FONASA,2026-02-28 12:35:34.140000
100,7.252.620-1,María,Vargas,1946-03-17,F,Paiguano,FONASA,2026-02-28 12:35:34.143333
101,19.491.371-0,Luis,Tapia,1946-07-28,M,Rancagua,NINGUNA,2026-02-28 12:35:34.146666
102,9.365.950-3,Anaís,Miranda,1977-11-10,F,Puyehue,FONASA,2026-02-28 12:35:34.150000
103,9.101.401-7,Patricia,Rivera,1967-12-15,F,Peñaflor,ISAPRE,2026-02-28 12:35:34.150000
104,6.726.243-3,Isidora,Sánchez,2005-11-24,F,Nacimiento,ISAPRE,2026-02-28 12:35:34.153333
105,16.799.288-9,María,Morales,1947-01-19,F,Quinta de Tilcoco,NINGUNA,2026-02-28 12:35:34.156666
106,10.191.883-1,Boris,Cortez,1984-09-09,M,Olmué,ISAPRE,2026-02-28 12:35:34.160000
107,8.631.206-9,Luis,González,1963-10-29,M,Colbún,NINGUNA,2026-02-28 12:35:34.163333
108,8.854.911-2,Juliana,Suárez,1991-11-23,F,San Joaquín,ISAPRE,2026-02-28 12:35:34.163333
109,19.398.623-4,Mario,Bustamante,1997-07-06,M,Laja,NINGUNA,2026-02-28 12:35:34.166666
110,13.974.056-4,Felipe,Núñez,1941-12-20,M,Parral,FONASA,2026-02-28 12:35:34.170000
111,15.367.805-7,Rosa,Contreras,2002-09-16,F,Purranque,ISAPRE,2026-02-28 12:35:34.173333
112,5.204.876-1,Jacqueline,Ortega,1952-05-05,F,Lumaco,FONASA,2026-02-28 12:35:34.176666
113,7.334.899-4,Jennifer,Aravena,1949-08-27,F,Nogales,NINGUNA,2026-02-28 12:35:34.180000
114,8.078.876-2,Miguel,Guajardo,1990-10-09,M,Freirina,NINGUNA,2026-02-28 12:35:34.180000
115,17.622.989-6,Gastón,Allende,1968-07-26,M,Colina,ISAPRE,2026-02-28 12:35:34.183333
116,10.281.778-8,Danitza,Díaz,1965-03-07,F,San Javier,ISAPRE,2026-02-28 12:35:34.186666
117,24.045.279-0,Rosa,Lorca,1980-07-28,F,Codegua,FONASA,2026-02-28 12:35:34.190000
118,10.220.395-K,Tomás,Manríquez,1950-09-17,M,Salamanca,NINGUNA,2026-02-28 12:35:34.193333
119,7.737.421-3,Javier,Vega,1958-07-08,M,Lo Prado,ISAPRE,2026-02-28 12:35:34.193333
120,21.296.102-7,Katherinne,Cuevas,1981-04-23,F,San Pedro de la Paz,ISAPRE,2026-02-28 12:35:34.196666
121,14.165.958-8,Francisca,Navarro,1954-09-01,F,Santa Bárbara,NINGUNA,2026-02-28 12:35:34.200000
122,16.582.079-7,José,Gutiérrez,1969-04-03,M,Pedro Aguirre Cerda,FONASA,2026-02-28 12:35:34.203333
123,24.902.282-9,Maite,Salazar,1973-02-11,F,Nancagua,NINGUNA,2026-02-28 12:35:34.206666
124,6.523.953-1,Cristina,Cordero,1955-01-03,F,Illapel,ISAPRE,2026-02-28 12:35:34.206666
125,5.257.935-K,Marcelo,Vera,1953-11-28,M,Santa María,ISAPRE,2026-02-28 12:35:34.210000
126,9.604.835-1,Francisco,Castro,1992-01-01,M,Villa Alegre,ISAPRE,2026-02-28 12:35:34.213333
127,16.009.959-3,Fernanda,Ríos,1948-03-01,F,Coelemu,FONASA,2026-02-28 12:35:34.216666
128,19.450.384-9,Gladys,Barra,1951-12-15,F,San Vicente,FONASA,2026-02-28 12:35:34.220000
129,22.870.498-9,Fernanda,Rodríguez,1987-11-19,F,Paredones,FONASA,2026-02-28 12:35:34.220000
130,7.418.452-9,Beatriz,Ossandón,1967-01-08,F,Mostazal,NINGUNA,2026-02-28 12:35:34.223333
131,19.637.100-1,Maximiliano,Rojas,1941-04-10,M,Hualqui,ISAPRE,2026-02-28 12:35:34.226666
132,15.504.571-K,Carlos,Navarrete,1979-03-07,M,Curacautín,ISAPRE,2026-02-28 12:35:34.230000
133,19.015.483-1,Ana,Martínez,1959-09-13,F,San Nicolás,FONASA,2026-02-28 12:35:34.233333
134,5.699.829-2,Tania,Quintana,2005-10-01,F,Padre Las Casas,ISAPRE,2026-02-28 12:35:34.236666
135,20.438.290-5,Daniel,Carvajal,1996-08-14,M,Tocopilla,NINGUNA,2026-02-28 12:35:34.240000
136,7.957.148-2,Javiera,Quintana,1969-09-19,F,Toltén,FONASA,2026-02-28 12:35:34.240000
137,19.618.878-9,Gabriel,Navarro,1980-01-27,M,Mostazal,ISAPRE,2026-02-28 12:35:34.243333
138,18.279.726-K,Juan,Miranda,1999-03-29,M,Los Sauces,ISAPRE,2026-02-28 12:35:34.246666
139,12.434.724-6,Karen,Gutiérrez,1962-08-31,F,Chañaral,FONASA,2026-02-28 12:35:34.246666
140,22.128.976-5,Iván,Aguilera,1983-02-02,M,San Rafael,FONASA,2026-02-28 12:35:34.250000
141,16.723.088-1,Juan,Sepúlveda,1963-11-22,M,San Ramón,NINGUNA,2026-02-28 12:35:34.253333
142,12.927.867-6,Francisco,Peralta,1946-12-30,M,Chillán,FONASA,2026-02-28 12:35:34.256666
143,11.619.343-4,Ana,Olivares,1951-10-22,F,Tucapel,NINGUNA,2026-02-28 12:35:34.256666
144,7.528.436-5,David,Aburto,1952-01-20,M,Hualañé,NINGUNA,2026-02-28 12:35:34.260000
145,20.567.681-3,Orfelina,Bello,1991-05-04,F,Frutillar,NINGUNA,2026-02-28 12:35:34.263333
146,23.941.201-7,Claudia,González,1983-10-03,F,Pitrufquén,NINGUNA,2026-02-28 12:35:34.266666
147,15.607.861-1,Jacqueline,González,1950-04-10,F,Puqueldón,ISAPRE,2026-02-28 12:35:34.270000
148,20.734.380-3,José,Morales,1970-02-03,M,Macul,NINGUNA,2026-02-28 12:35:34.270000
149,14.216.518-K,Norma,Araya,1980-03-30,F,Nogales,FONASA,2026-02-28 12:35:34.273333
150,22.023.401-0,Jennifer,Sobarzo,1945-01-18,F,Curaco de Vélez,ISAPRE,2026-02-28 12:35:34.276666
151,20.163.713-9,Ana,Sepúlveda,1942-07-23,F,Sagrada Familia,FONASA,2026-02-28 12:35:34.280000
152,14.632.706-0,Mirtha,Guerra,1945-03-22,F,Vilcún,NINGUNA,2026-02-28 12:35:34.280000
153,24.934.010-3,Andrés,Durán,1974-07-04,M,Olmué,ISAPRE,2026-02-28 12:35:34.283333
154,24.472.623-2,Patricia,Fuenzalida,1977-09-20,F,Paiguano,NINGUNA,2026-02-28 12:35:34.286666
155,20.090.558-K,Germán,Díaz,2001-11-10,M,Victoria,NINGUNA,2026-02-28 12:35:34.286666
156,15.788.647-9,Ernesto,Inostroza,1981-03-03,M,La Serena,ISAPRE,2026-02-28 12:35:34.290000
157,7.076.136-K,Lucas,Cortés,1970-08-28,M,Limache,FONASA,2026-02-28 12:35:34.293333
158,7.829.616-K,Ximena,Riveros,1974-05-02,F,San Antonio,NINGUNA,2026-02-28 12:35:34.293333
159,6.313.391-4,Luis,Inostroza,1956-11-09,M,Yungay,NINGUNA,2026-02-28 12:35:34.296666
160,19.744.548-3,Juanita,Rocha,1975-08-30,F,Cabrero,NINGUNA,2026-02-28 12:35:34.296666
161,17.210.389-8,Rodrigo,Zamorano,1965-05-16,M,Cochrane,ISAPRE,2026-02-28 12:35:34.300000
162,18.716.024-3,Paulina,Orellana,1992-09-13,F,Los Ángeles,ISAPRE,2026-02-28 12:35:34.303333
163,16.228.968-3,Héctor,Jaque,1944-06-26,M,Buin,ISAPRE,2026-02-28 12:35:34.306666
164,23.722.138-9,Wilmer,Gallardo,1986-03-01,M,Huara,ISAPRE,2026-02-28 12:35:34.310000
165,13.455.575-0,Jessica,Durán,1989-04-01,F,Algarrobo,NINGUNA,2026-02-28 12:35:34.310000
166,16.185.773-4,Domingo,Burgos,1945-07-18,M,San Ramón,NINGUNA,2026-02-28 12:35:34.310000
167,16.738.037-9,Ariel,Poblete,1961-02-09,M,Ollagüe,NINGUNA,2026-02-28 12:35:34.313333
168,9.326.899-7,Catalina,González,1980-06-28,F,Chañaral,NINGUNA,2026-02-28 12:35:34.316666
169,15.387.844-7,Roberto,Méndez,1978-01-13,M,Santa Bárbara,ISAPRE,2026-02-28 12:35:34.320000
170,9.288.047-8,Emilia,Vargas,1985-08-07,F,Rancagua,NINGUNA,2026-02-28 12:35:34.323333
171,19.207.160-7,Isaac,García,1974-08-08,M,Peñaflor,ISAPRE,2026-02-28 12:35:34.323333
172,17.166.758-5,Mario,González,1961-01-06,M,Calera de Tango,FONASA,2026-02-28 12:35:34.326666
173,16.466.634-4,Sebastián,Ríos,2004-06-27,M,Coronel,ISAPRE,2026-02-28 12:35:34.330000
174,12.601.523-2,Luis,Alarcón,1949-05-12,M,Chonchi,FONASA,2026-02-28 12:35:34.330000
175,14.925.135-9,Abel,Márquez,1997-06-18,M,Constitución,FONASA,2026-02-28 12:35:34.333333
176,16.299.937-0,Juan,Martínez,1999-08-21,M,Llaillay,NINGUNA,2026-02-28 12:35:34.336666
177,17.640.621-6,Mario,Estay,1950-06-30,M,Conchalí,FONASA,2026-02-28 12:35:34.336666
178,10.554.572-K,Raúl,Díaz,1989-01-28,M,Andacollo,ISAPRE,2026-02-28 12:35:34.340000
179,18.786.127-6,Ramón,Vargas,1964-10-15,M,Cochrane,NINGUNA,2026-02-28 12:35:34.343333
180,19.904.835-K,Juan,Tello,1981-07-20,M,Navidad,ISAPRE,2026-02-28 12:35:34.343333
181,12.851.835-5,Nicole,Aravena,1976-05-03,F,Teodoro Schmidt,FONASA,2026-02-28 12:35:34.346666
182,20.737.552-7,Elisa,Castillo,2001-07-07,F,Concón,FONASA,2026-02-28 12:35:34.350000
183,24.140.098-0,Ester,González,1969-12-25,F,Pinto,ISAPRE,2026-02-28 12:35:34.353333
184,17.813.512-0,Sandra,Jorquera,1974-03-22,F,La Unión,NINGUNA,2026-02-28 12:35:34.353333
185,10.437.769-6,Mercedes,García,1995-08-03,F,Nancagua,FONASA,2026-02-28 12:35:34.356666
186,13.388.715-6,Héctor,Aguilar,1943-07-20,M,Alto Biobío,NINGUNA,2026-02-28 12:35:34.360000
187,17.455.811-6,Mary,Rojas,1977-09-26,F,Conchalí,FONASA,2026-02-28 12:35:34.360000
188,14.565.127-1,Fabián,Aravena,1945-09-15,M,Pemuco,FONASA,2026-02-28 12:35:34.360000
189,20.076.651-2,Clara,Labra,2001-08-09,F,Combarbalá,NINGUNA,2026-02-28 12:35:34.363333
190,19.679.143-4,Francisco,Bello,1946-03-29,M,El Bosque,FONASA,2026-02-28 12:35:34.366666
191,16.730.128-2,Fernanda,Bravo,2003-04-27,F,Peralillo,FONASA,2026-02-28 12:35:34.366666
192,6.787.004-2,Martina,Morales,1966-12-23,F,Lo Espejo,NINGUNA,2026-02-28 12:35:34.370000
193,12.911.399-5,Liliana,Morales,1966-04-12,F,La Granja,FONASA,2026-02-28 12:35:34.373333
194,12.534.270-1,Juana,Carrasco,1941-12-01,F,Chépica,ISAPRE,2026-02-28 12:35:34.376666
195,16.250.477-0,Sergio,Rozas,1993-11-07,M,Cerro Navia,FONASA,2026-02-28 12:35:34.376666
196,6.285.241-0,Víctor,Romero,1959-07-10,M,Tirúa,ISAPRE,2026-02-28 12:35:34.380000
197,20.740.723-2,Benjamín,Cortez,1970-07-12,M,Pinto,NINGUNA,2026-02-28 12:35:34.380000
198,7.658.375-7,Antonio,Garrido,1941-04-17,M,Villa Alemana,ISAPRE,2026-02-28 12:35:34.383333
199,10.017.045-0,Francisco,Herrera,1977-05-06,M,Pichilemu,NINGUNA,2026-02-28 12:35:34.386666
200,8.730.811-1,Marisel,Sandoval,1992-10-25,F,Casablanca,ISAPRE,2026-02-28 12:35:34.390000
201,15.104.957-5,Francisco,Jara,1948-04-16,M,Olmué,FONASA,2026-02-28 12:35:34.393333
202,19.087.007-3,Benjamín,Toro,1983-06-25,M,Tiltil,NINGUNA,2026-02-28 12:35:34.396666
203,7.107.458-7,Denisse,Barría,1947-07-18,F,Calera de Tango,ISAPRE,2026-02-28 12:35:34.396666
204,22.293.139-8,Enrique,Ortiz,1979-02-17,M,Olmué,FONASA,2026-02-28 12:35:34.400000
205,14.773.466-2,Cristian,Gallardo,1969-03-17,M,Hualañé,FONASA,2026-02-28 12:35:34.403333
206,13.071.996-1,Sophia,García,1978-10-31,F,San Juan de la Costa,ISAPRE,2026-02-28 12:35:34.406666
207,7.872.727-6,José,Olguín,1975-08-16,M,Pucón,ISAPRE,2026-02-28 12:35:34.410000
208,22.651.625-5,Kevin,Muñoz,1977-01-09,M,Puente Alto,NINGUNA,2026-02-28 12:35:34.410000
209,18.101.453-9,Carlos,Melo,1999-06-06,M,Villa Alemana,ISAPRE,2026-02-28 12:35:34.413333
210,17.981.582-6,José,Lara,1965-05-27,M,Alto Biobío,ISAPRE,2026-02-28 12:35:34.416666
211,16.982.082-1,Bayron,Díaz,1993-08-28,M,Máfil,FONASA,2026-02-28 12:35:34.420000
212,13.090.843-8,Lesly,Godoy,1989-11-16,F,Puerto Octay,NINGUNA,2026-02-28 12:35:34.423333
213,24.525.435-0,Patricio,Rivas,1990-01-11,M,Illapel,ISAPRE,2026-02-28 12:35:34.426666
214,6.487.658-9,Germán,Palma,1963-12-22,M,Yungay,NINGUNA,2026-02-28 12:35:34.426666
215,10.875.016-2,Raquel,Valdivia,1996-07-04,F,Quilpué,NINGUNA,2026-02-28 12:35:34.430000
216,21.056.841-7,María,Chacón,1982-12-27,F,Rengo,FONASA,2026-02-28 12:35:34.430000
217,7.117.302-K,Miguel,Marchant,1988-09-22,M,Olivar,ISAPRE,2026-02-28 12:35:34.433333
218,14.846.298-4,Rodrigo,Catalán,1953-09-19,M,Río Bueno,FONASA,2026-02-28 12:35:34.433333
219,6.406.130-5,Junior,Troncoso,1961-06-23,M,Quilaco,ISAPRE,2026-02-28 12:35:34.436666
220,23.221.086-9,Milena,Rodríguez,1972-03-19,F,Pitrufquén,ISAPRE,2026-02-28 12:35:34.436666
221,11.412.367-6,Renato,Sepúlveda,1959-06-21,M,Yungay,ISAPRE,2026-02-28 12:35:34.440000
222,16.137.544-6,Enzo,Díaz,1958-08-04,M,Quilicura,FONASA,2026-02-28 12:35:34.440000
223,19.661.655-1,Josefina,Contreras,2000-07-12,F,Las Cabras,ISAPRE,2026-02-28 12:35:34.443333
224,17.973.645-4,Ida,Bravo,1963-01-26,F,Dalcahue,FONASA,2026-02-28 12:35:34.446666
225,21.694.114-4,Javiera,Marchant,1964-12-30,F,Vallenar,NINGUNA,2026-02-28 12:35:34.450000
226,7.771.982-2,Erika,Morales,1989-06-23,F,Combarbalá,ISAPRE,2026-02-28 12:35:34.450000
227,19.448.778-9,Felipe,Cid,1980-12-30,M,Providencia,FONASA,2026-02-28 12:35:34.453333
228,15.778.067-0,Fiorella,Rodríguez,1946-12-25,F,Sierra Gorda,FONASA,2026-02-28 12:35:34.456666
229,14.920.030-4,Francisca,Vallejos,1960-11-08,F,Arauco,ISAPRE,2026-02-28 12:35:34.460000
230,10.591.670-1,Teresa,Páez,1986-12-09,F,San Miguel,ISAPRE,2026-02-28 12:35:34.463333
231,20.003.181-4,Carmen,Reyes,1942-11-18,F,Molina,NINGUNA,2026-02-28 12:35:34.466666
232,19.594.181-5,Claudia,Salazar,1958-09-07,F,Cerro Navia,NINGUNA,2026-02-28 12:35:34.470000
233,7.517.963-4,Eduardo,Jorquera,1985-09-03,M,Nacimiento,NINGUNA,2026-02-28 12:35:34.470000
234,17.190.698-9,Lilian,Lara,1974-11-30,F,Laja,NINGUNA,2026-02-28 12:35:34.473333
235,6.044.905-8,Jesús,Moreno,1949-09-18,M,Ñuñoa,NINGUNA,2026-02-28 12:35:34.476666
236,6.167.659-7,Rosa,Espinoza,1948-08-03,F,Molina,FONASA,2026-02-28 12:35:34.480000
237,17.291.943-K,José,Briceño,1964-08-23,M,La Serena,ISAPRE,2026-02-28 12:35:34.483333
238,10.148.530-7,Vicente,Espinoza,1986-03-18,M,Panquehue,ISAPRE,2026-02-28 12:35:34.483333
239,17.482.697-8,Clara,Gaete,1970-03-18,F,La Serena,FONASA,2026-02-28 12:35:34.486666
240,22.765.725-1,Matías,Torres,1964-12-20,M,San José de Maipo,ISAPRE,2026-02-28 12:35:34.490000
241,14.351.276-2,Graciela,González,1956-12-26,F,Huechuraba,FONASA,2026-02-28 12:35:34.490000
