hospitalizacion_id,rut,nombre_completo,fecha_nacimiento,sexo,comuna,prevision,fecha_ingreso,fecha_egreso,motivo_egreso,medico_responsable,dias_estadia,numero_cama,servicio,tipo_cama,codigo_cie10,diagnostico,categoria_diagnostico,edad_ingreso,grupo_etario
11,24.515.495-K,José Gallardo,1945-01-07,M,Peumo,ISAPRE,2025-05-27 02:22:21.011789,2025-06-02 02:22:21.011789,Alta voluntaria,María Patricia Araya Gatica,6.0,MED-004,Medicina Interna,Básica,E11.9,Diabetes mellitus tipo 2 sin complicaciones,Metabólico,80,75+
12,10.877.201-8,Manuel Meza,1954-07-27,M,Cerrillos,ISAPRE,2025-03-09 22:33:14.011789,2025-03-13 22:33:14.011789,Traslado,Isabel Espinosa,4.0,CIR-274,Cirugía,Básica,A09.9,Gastroenteritis infecciosa,Infectológico,70,60-74
13,19.307.443-K,Cristopher Rivera,1956-09-08,M,Lumaco,ISAPRE,2025-12-26 06:23:24.011789,2026-01-13 06:23:24.011789,Alta médica,Rodrigo Modesto Acevedo Villagra,18.0,CIR-558,Cirugía,Media,S72.0,Fractura de cuello de fémur,Traumatológico,69,60-74
14,19.712.106-8,Gustavo Gamboa,1994-04-13,M,Navidad,ISAPRE,2026-01-17 19:08:59.011789,2026-02-02 19:08:59.011789,Fallecimiento,Juan Patricio Núñez Letelier,16.0,UCI-404,UCI,Básica,G40.9,"Epilepsia, no especificada",Neurológico,31,30-44
15,5.617.016-2,Alexander Flores,1965-08-17,M,Lampa,NINGUNA,2025-08-17 23:13:57.011789,2025-08-30 23:13:57.011789,Alta médica,Constanza Reyes Toro,13.0,CAR-453,Cardiología,Media,G40.9,"Epilepsia, no especificada",Neurológico,60,60-74
16,11.301.168-8,Mariela Miranda,1961-10-26,F,Coelemu,FONASA,2025-06-24 08:16:10.011789,2025-07-10 08:16:10.011789,Traslado,Pablo Vásquez Sáez,16.0,UCI-297,UCI,Media,J44.1,EPOC con exacerbación aguda,Respiratorio,63,60-74
17,20.553.313-3,Myriam Cifuentes,1986-01-12,F,San Clemente,FONASA,2025-05-26 12:37:17.011789,2025-06-05 12:37:17.011789,Fallecimiento,Silvia Barraza Mellado,10.0,NEU-402,Neurología,Alta Complejidad,E11.9,Diabetes mellitus tipo 2 sin complicaciones,Metabólico,39,30-44
18,24.227.861-5,Rocío González,1970-06-29,F,Alto Del Carmen,FONASA,2025-06-20 09:35:24.011789,2025-07-09 09:35:24.011789,Traslado,Yuliana Edith Acevedo Urra,19.0,UCI-057,UCI,Básica,J18.9,"Neumonía, no especificada",Respiratorio,55,45-59
19,17.249.984-8,Isabel Padilla,1998-02-19,F,Combarbalá,ISAPRE,2025-10-26 18:46:51.011789,2025-10-30 18:46:51.011789,Alta voluntaria,George Pedro Álvarez Valenzuela,4.0,CAR-165,Cardiología,Alta Complejidad,B34.9,"Infección viral, no especificada",Infectológico,27,15-29
20,13.905.378-8,Isidora Aros,1995-03-03,F,Concepción,NINGUNA,2025-08-11 04:22:41.011789,2025-08-22 04:22:41.011789,Alta médica,Sofía Córdova,11.0,MED-094,Medicina Interna,Media,J44.1,EPOC con exacerbación aguda,Respiratorio,30,30-44
21,19.439.238-9,Jonas Soto,1963-12-21,M,San Ignacio,NINGUNA,2025-05-31 00:42:14.011789,2025-06-19 00:42:14.011789,Alta médica,Ian José Orellana Cisternas,19.0,CAR-400,Cardiología,Media,N39.0,"Infección urinaria, sitio no especificado",Urológico,61,60-74
22,13.538.167-5,Camila Quezada,1995-07-24,F,Pelluhue,FONASA,2025-12-12 15:16:08.011789,2025-12-15 15:16:08.011789,Alta voluntaria,Carlos Francisco Rodríguez Salinas,3.0,MED-511,Medicina Interna,Alta Complejidad,B34.9,"Infección viral, no especificada",Infectológico,30,30-44
23,21.678.379-4,Sebastián Tapia,1999-09-07,M,Las Cabras,FONASA,2025-03-14 08:24:33.011789,2025-03-22 08:24:33.011789,Fallecimiento,María Carrasco,8.0,TRA-541,Traumatología,Media,J18.9,"Neumonía, no especificada",Respiratorio,25,15-29
24,10.702.088-8,José Pérez,1979-05-05,M,Huasco,NINGUNA,2025-03-08 20:27:29.011789,,En curso,Pablo Vásquez Sáez,,MED-036,Medicina Interna,Media,K92.1,Melena,Digestivo,45,45-59
25,9.132.470-9,Abel Figueroa,1980-02-13,M,Punta Arenas,NINGUNA,2025-10-01 02:13:41.011789,2025-10-14 02:13:41.011789,Alta voluntaria,Mariana Evelyn Castro Saldaña,13.0,CIR-202,Cirugía,Media,N39.0,"Infección urinaria, sitio no especificado",Urológico,45,45-59
26,6.943.001-5,Aldo Castillo,1956-08-20,M,Las Cabras,FONASA,2025-09-29 22:43:20.011789,2025-10-14 22:43:20.011789,Alta médica,Rodrigo Modesto Acevedo Villagra,15.0,NEU-447,Neurología,Básica,K35.9,"Apendicitis aguda, no especificada",Digestivo,69,60-74
27,16.354.258-7,Raúl Hernández,2003-09-14,M,San José De Maipo,FONASA,2025-07-11 18:45:18.011789,2025-07-13 18:45:18.011789,Traslado,María Carrasco,2.0,CAR-526,Cardiología,Alta Complejidad,A09.9,Gastroenteritis infecciosa,Infectológico,21,15-29
28,10.452.402-8,Fernanda Aguilar,1989-10-02,F,Quemchi,ISAPRE,2025-08-07 22:38:30.011789,2025-08-25 22:38:30.011789,Alta médica,Juan Patricio Núñez Letelier,18.0,MED-352,Medicina Interna,Básica,B34.9,"Infección viral, no especificada",Infectológico,35,30-44
29,11.152.308-8,María Figueroa,1987-08-11,F,Huara,NINGUNA,2025-03-22 12:39:05.011789,2025-03-28 12:39:05.011789,Fallecimiento,Ian José Orellana Cisternas,6.0,NEU-154,Neurología,Básica,K35.9,"Apendicitis aguda, no especificada",Digestivo,37,30-44
30,17.973.645-4,Ida Bravo,1963-01-26,F,Dalcahue,FONASA,2025-11-09 23:34:57.011789,,En curso,David Palacios,,CIR-218,Cirugía,Alta Complejidad,K92.1,Melena,Digestivo,62,60-74
31,16.905.862-8,Esteban Riveros,1965-10-31,M,San Fernando,ISAPRE,2025-11-10 21:42:31.011789,2025-11-13 21:42:31.011789,Alta médica,David Palacios,3.0,UCI-316,UCI,Media,I21.9,"Infarto agudo al miocardio, no especificado",Cardiovascular,60,60-74
32,22.043.962-3,Manuel Díaz,1947-01-02,M,Cochrane,ISAPRE,2025-11-29 10:02:50.011789,2025-12-11 10:02:50.011789,Traslado,Ignacia María Hernández Araya,12.0,NEU-097,Neurología,Media,K35.9,"Apendicitis aguda, no especificada",Digestivo,78,75+
33,16.730.128-2,Fernanda Bravo,2003-04-27,F,Peralillo,FONASA,2025-06-22 04:35:58.011789,,En curso,George Pedro Álvarez Valenzuela,,UCI-211,UCI,Básica,J06.9,Infección aguda vías respiratorias superiores,Respiratorio,22,15-29
34,19.450.384-9,Gladys Barra,1951-12-15,F,San Vicente,FONASA,2025-11-26 12:17:45.011789,2025-11-30 12:17:45.011789,Alta médica,Jessica Zapata,4.0,TRA-107,Traumatología,Alta Complejidad,S72.0,Fractura de cuello de fémur,Traumatológico,74,60-74
35,18.308.763-0,Luis Parada,2002-04-10,M,San Ignacio,FONASA,2025-03-30 23:45:46.011789,2025-04-04 23:45:46.011789,Traslado,Carlos Francisco Rodríguez Salinas,5.0,UCI-378,UCI,Alta Complejidad,I21.9,"Infarto agudo al miocardio, no especificado",Cardiovascular,22,15-29
36,16.466.634-4,Sebastián Ríos,2004-06-27,M,Coronel,ISAPRE,2025-07-23 03:31:07.011789,2025-07-28 03:31:07.011789,Alta médica,Carlos Francisco Rodríguez Salinas,5.0,TRA-321,Traumatología,Básica,S06.9,"Traumatismo intracraneal, no especificado",Neurológico,21,15-29
37,17.589.368-7,Salvador González,1999-08-25,M,Taltal,NINGUNA,2025-03-08 19:01:35.011789,2025-03-10 19:01:35.011789,Fallecimiento,Juan Patricio Núñez Letelier,2.0,NEU-540,Neurología,Alta Complejidad,J18.9,"Neumonía, no especificada",Respiratorio,25,15-29
38,23.592.927-9,Francisca Inostroza,1989-02-18,F,Antuco,NINGUNA,2025-03-23 17:13:25.011789,2025-04-12 17:13:25.011789,Alta voluntaria,Yuliana Edith Acevedo Urra,20.0,CAR-112,Cardiología,Básica,K92.1,Melena,Digestivo,36,30-44
39,15.131.621-2,Florencia Bravo,1979-08-21,F,Catemu,NINGUNA,2025-08-19 23:09:23.011789,2025-08-26 23:09:23.011789,Alta voluntaria,Josefa Espinoza Jara,7.0,TRA-258,Traumatología,Media,B34.9,"Infección viral, no especificada",Infectológico,46,45-59
40,6.781.245-K,Soledad Toro,1971-08-22,F,El Monte,NINGUNA,2025-03-12 16:23:11.011789,2025-03-24 16:23:11.011789,Alta médica,María Patricia Araya Gatica,12.0,NEU-273,Neurología,Básica,J06.9,Infección aguda vías respiratorias superiores,Respiratorio,53,45-59
41,21.561.781-5,Francisco Benavides,1954-10-12,M,Los Andes,ISAPRE,2025-05-23 14:55:48.011789,2025-06-03 14:55:48.011789,Alta voluntaria,Ignacia María Hernández Araya,11.0,CAR-308,Cardiología,Alta Complejidad,E86.0,Deshidratación,Metabólico,70,60-74
42,8.663.625-5,Luisa Jiménez,1986-05-09,F,San Juan De La Costa,FONASA,2025-07-29 06:02:42.011789,,En curso,Mariana Evelyn Castro Saldaña,,NEU-012,Neurología,Básica,S06.9,"Traumatismo intracraneal, no especificado",Neurológico,39,30-44
43,14.552.170-K,Guillermina Cisternas,1984-02-16,F,Hijuelas,NINGUNA,2025-10-08 21:38:06.011789,2025-10-25 21:38:06.011789,Fallecimiento,María Carrasco,17.0,NEU-529,Neurología,Básica,S06.9,"Traumatismo intracraneal, no especificado",Neurológico,41,30-44
44,17.656.672-8,Alfonso Caro,1942-10-06,M,Mulchén,ISAPRE,2025-04-20 17:44:06.011789,,En curso,María Carrasco,,MED-515,Medicina Interna,Alta Complejidad,E11.9,Diabetes mellitus tipo 2 sin complicaciones,Metabólico,82,75+
45,11.015.197-7,María Véliz,1947-04-13,F,Pelluhue,FONASA,2025-12-25 01:59:41.011789,2026-01-05 01:59:41.011789,Alta voluntaria,Jessica Zapata,11.0,MED-515,Medicina Interna,Alta Complejidad,K35.9,"Apendicitis aguda, no especificada",Digestivo,78,75+
46,13.358.799-3,Verónica Araya,1986-02-25,F,San Fabián,NINGUNA,2025-11-11 13:03:39.011789,2025-12-01 13:03:39.011789,Alta médica,Jessica Zapata,20.0,NEU-121,Neurología,Básica,J44.1,EPOC con exacerbación aguda,Respiratorio,39,30-44
47,21.928.593-0,Lucas Hidalgo,1947-03-11,M,Pucón,FONASA,2026-01-23 16:43:43.011789,2026-02-07 16:43:43.011789,Alta médica,Sofía Córdova,15.0,CAR-045,Cardiología,Básica,S06.9,"Traumatismo intracraneal, no especificado",Neurológico,78,75+
48,21.060.898-2,Camila Torres,1971-05-22,F,Pucón,FONASA,2025-07-17 20:08:21.011789,2025-08-04 20:08:21.011789,Traslado,Jessica Zapata,18.0,CAR-311,Cardiología,Media,E11.9,Diabetes mellitus tipo 2 sin complicaciones,Metabólico,54,45-59
49,21.949.697-4,Fernando García,1950-11-05,M,Ninhue,ISAPRE,2026-02-11 21:39:04.011789,2026-02-22 21:39:04.011789,Alta médica,Jessica Zapata,11.0,CIR-520,Cirugía,Básica,J06.9,Infección aguda vías respiratorias superiores,Respiratorio,75,75+
50,13.411.969-1,Angelo Espinoza,2001-02-25,M,Providencia,FONASA,2025-06-09 07:41:17.011789,,En curso,Gladys Carrasco Aguilar,,MED-231,Medicina Interna,Alta Complejidad,I10.X,Hipertensión esencial primaria,Cardiovascular,24,15-29
51,13.089.361-9,Luis Henríquez,1973-12-30,M,Camarones,NINGUNA,2026-02-01 21:07:48.011789,2026-02-03 21:07:48.011789,Traslado,Constanza Reyes Toro,2.0,CAR-217,Cardiología,Alta Complejidad,I10.X,Hipertensión esencial primaria,Cardiovascular,52,45-59
52,5.172.953-6,Carlos Muñoz,1963-10-19,M,Buin,NINGUNA,2026-01-28 17:41:19.011789,2026-02-08 17:41:19.011789,Alta médica,Jessica Zapata,11.0,MED-234,Medicina Interna,Media,B34.9,"Infección viral, no especificada",Infectológico,62,60-74
53,6.594.887-7,Elizabeth Varas,1960-03-25,F,San Felipe,NINGUNA,2025-06-08 12:09:16.011789,2025-06-20 12:09:16.011789,Alta médica,Carlos Francisco Rodríguez Salinas,12.0,MED-249,Medicina Interna,Media,K35.9,"Apendicitis aguda, no especificada",Digestivo,65,60-74
54,16.537.591-2,María Garcés,1950-01-25,F,Ránquil,ISAPRE,2025-03-30 14:45:01.011789,2025-04-03 14:45:01.011789,Alta médica,María Patricia Araya Gatica,4.0,MED-086,Medicina Interna,Media,J44.1,EPOC con exacerbación aguda,Respiratorio,75,75+
55,7.778.114-5,Olga Sanhueza,1964-01-09,F,Quemchi,NINGUNA,2025-07-22 17:54:45.011789,2025-08-05 17:54:45.011789,Alta médica,Gladys Carrasco Aguilar,14.0,TRA-191,Traumatología,Básica,J18.9,"Neumonía, no especificada",Respiratorio,61,60-74
56,21.055.576-5,Ramiro Godoy,1990-03-06,M,Lago Verde,NINGUNA,2025-03-10 02:45:46.011789,2025-03-22 02:45:46.011789,Fallecimiento,Josefa Espinoza Jara,12.0,NEU-488,Neurología,Media,S72.0,Fractura de cuello de fémur,Traumatológico,35,30-44
57,17.913.709-7,Juan Flores,1959-12-31,M,San Vicente,NINGUNA,2025-10-28 01:16:23.011789,2025-11-09 01:16:23.011789,Alta médica,Carlos Francisco Rodríguez Salinas,12.0,CIR-347,Cirugía,Alta Complejidad,A09.9,Gastroenteritis infecciosa,Infectológico,65,60-74
58,15.919.826-K,Freddy Pulgar,1964-08-09,M,María Elena,NINGUNA,2025-10-23 01:14:22.011789,2025-11-03 01:14:22.011789,Fallecimiento,Gladys Carrasco Aguilar,11.0,NEU-504,Neurología,Media,B34.9,"Infección viral, no especificada",Infectológico,61,60-74
59,16.137.544-6,Enzo Díaz,1958-08-04,M,Quilicura,FONASA,2025-07-26 12:36:20.011789,2025-07-29 12:36:20.011789,Alta médica,Ignacia María Hernández Araya,3.0,UCI-483,UCI,Básica,N39.0,"Infección urinaria, sitio no especificado",Urológico,67,60-74
60,6.748.609-9,Máximo Alarcón,1962-08-26,M,Calle Larga,FONASA,2025-12-10 05:04:23.011789,2025-12-27 05:04:23.011789,Alta médica,George Pedro Álvarez Valenzuela,17.0,TRA-507,Traumatología,Media,S06.9,"Traumatismo intracraneal, no especificado",Neurológico,63,60-74
61,16.723.088-1,Juan Sepúlveda,1963-11-22,M,San Ramón,NINGUNA,2025-06-13 01:33:26.011789,2025-07-02 01:33:26.011789,Fallecimiento,Isabel Espinosa,19.0,NEU-227,Neurología,Alta Complejidad,I50.9,"Insuficiencia cardíaca, no especificada",Cardiovascular,61,60-74
62,22.135.451-6,Pablo Espinoza,1990-10-28,M,Portezuelo,NINGUNA,2025-05-29 04:38:59.011789,2025-06-02 04:38:59.011789,Traslado,Juan Patricio Núñez Letelier,4.0,TRA-104,Traumatología,Básica,K35.9,"Apendicitis aguda, no especificada",Digestivo,34,30-44
63,8.059.870-K,Juan Aguirre,1947-10-08,M,Mejillones,NINGUNA,2025-07-15 05:19:36.011789,2025-07-18 05:19:36.011789,Fallecimiento,Ángela Amanda Moya Sandoval,3.0,TRA-572,Traumatología,Básica,I50.9,"Insuficiencia cardíaca, no especificada",Cardiovascular,77,75+
64,24.693.759-1,Rosa Soto,1975-06-13,F,Lebu,ISAPRE,2025-12-30 21:28:41.011789,2026-01-18 21:28:41.011789,Traslado,María Patricia Araya Gatica,19.0,MED-325,Medicina Interna,Básica,N39.0,"Infección urinaria, sitio no especificado",Urológico,50,45-59
65,19.329.541-K,Marta Araya,1981-06-06,F,Traiguén,ISAPRE,2025-11-14 03:15:18.011789,2025-11-23 03:15:18.011789,Fallecimiento,Juan Patricio Núñez Letelier,9.0,NEU-154,Neurología,Básica,E86.0,Deshidratación,Metabólico,44,30-44
66,7.510.894-K,Elba Martínez,1980-04-11,F,Cobquecura,NINGUNA,2025-08-06 04:06:52.011789,2025-08-11 04:06:52.011789,Alta voluntaria,Ángela Amanda Moya Sandoval,5.0,MED-047,Medicina Interna,Alta Complejidad,I10.X,Hipertensión esencial primaria,Cardiovascular,45,45-59
67,5.204.876-1,Jacqueline Ortega,1952-05-05,F,Lumaco,FONASA,2025-03-06 13:10:37.011789,2025-03-20 13:10:37.011789,Fallecimiento,Gladys Carrasco Aguilar,14.0,TRA-494,Traumatología,Media,E86.0,Deshidratación,Metabólico,72,60-74
68,8.990.367-K,Romina Retamal,2001-10-28,F,Llaillay,ISAPRE,2026-02-01 04:32:09.011789,2026-02-15 04:32:09.011789,Alta médica,Gladys Carrasco Aguilar,14.0,CIR-439,Cirugía,Básica,E11.9,Diabetes mellitus tipo 2 sin complicaciones,Metabólico,24,15-29
69,20.459.212-8,Gladys Estrada,2001-01-03,F,Laguna Blanca,NINGUNA,2025-09-16 11:46:52.011789,,En curso,Gladys Carrasco Aguilar,,TRA-162,Traumatología,Media,K35.9,"Apendicitis aguda, no especificada",Digestivo,24,15-29
70,13.220.869-7,Antonia Acevedo,1942-04-24,F,Quilicura,FONASA,2025-08-03 18:27:48.011789,2025-08-11 18:27:48.011789,Fallecimiento,María Patricia Araya Gatica,8.0,NEU-273,Neurología,Básica,J44.1,EPOC con exacerbación aguda,Respiratorio,83,75+
71,19.644.156-5,Mia Vera,1947-11-23,F,Nacimiento,ISAPRE,2025-10-22 22:37:23.011789,2025-10-24 22:37:23.011789,Alta médica,Ángela Amanda Moya Sandoval,2.0,TRA-368,Traumatología,Media,N39.0,"Infección urinaria, sitio no especificado",Urológico,77,75+
72,9.228.047-0,Ingrid Vidal,1975-06-02,F,Cerrillos,NINGUNA,2025-12-13 04:23:36.011789,2025-12-23 04:23:36.011789,Alta voluntaria,María Patricia Araya Gatica,10.0,CIR-255,Cirugía,Básica,I10.X,Hipertensión esencial primaria,Cardiovascular,50,45-59
73,14.269.315-1,Jocelyn Parra,1961-01-18,F,Natales,FONASA,2026-02-19 09:31:03.011789,2026-03-08 09:31:03.011789,Alta médica,Ángela Amanda Moya Sandoval,17.0,CAR-043,Cardiología,Media,K35.9,"Apendicitis aguda, no especificada",Digestivo,65,60-74
74,12.695.908-7,Pamela Mamani,1956-11-01,F,Cunco,NINGUNA,2025-07-25 20:37:11.011789,2025-07-31 20:37:11.011789,Fallecimiento,David Palacios,6.0,MED-243,Medicina Interna,Básica,J18.9,"Neumonía, no especificada",Respiratorio,68,60-74
75,17.789.458-3,Angélica Medel,1963-05-21,F,Putaendo,NINGUNA,2025-07-11 00:02:07.011789,2025-07-28 00:02:07.011789,Alta voluntaria,George Pedro Álvarez Valenzuela,17.0,NEU-186,Neurología,Alta Complejidad,K92.1,Melena,Digestivo,62,60-74
76,9.985.125-2,Andrea Matus,1982-08-31,F,La Estrella,NINGUNA,2025-12-19 15:08:31.011789,2025-12-24 15:08:31.011789,Alta médica,Constanza Reyes Toro,5.0,MED-146,Medicina Interna,Básica,N39.0,"Infección urinaria, sitio no especificado",Urológico,43,30-44
77,12.748.133-4,José Gómez,1986-10-10,M,Olmué,FONASA,2025-06-16 14:07:42.011789,2025-07-06 14:07:42.011789,Fallecimiento,Silvia Barraza Mellado,20.0,NEU-332,Neurología,Alta Complejidad,J18.9,"Neumonía, no especificada",Respiratorio,38,30-44
78,16.126.538-1,Antonella Villalobos,2005-09-19,F,Paillaco,ISAPRE,2025-04-15 13:34:07.011789,2025-05-01 13:34:07.011789,Alta voluntaria,Jessica Zapata,16.0,CIR-458,Cirugía,Alta Complejidad,J18.9,"Neumonía, no especificada",Respiratorio,19,15-29
79,13.974.056-4,Felipe Núñez,1941-12-20,M,Parral,FONASA,2025-10-21 22:30:29.011789,2025-10-29 22:30:29.011789,Fallecimiento,Ignacia María Hernández Araya,8.0,CAR-553,Cardiología,Media,I21.9,"Infarto agudo al miocardio, no especificado",Cardiovascular,83,75+
80,6.526.214-2,Alicia Godoy,1950-12-26,F,Viña Del Mar,NINGUNA,2026-01-20 06:40:54.011789,2026-01-26 06:40:54.011789,Alta médica,Pablo Vásquez Sáez,6.0,CAR-221,Cardiología,Media,I21.9,"Infarto agudo al miocardio, no especificado",Cardiovascular,75,75+
81,15.619.060-8,Carolina Pastén,1948-12-24,F,Vitacura,ISAPRE,2025-09-06 04:29:33.011789,2025-09-07 04:29:33.011789,Fallecimiento,Ángela Amanda Moya Sandoval,1.0,MED-583,Medicina Interna,Alta Complejidad,N39.0,"Infección urinaria, sitio no especificado",Urológico,76,75+
82,12.994.417-K,Mercedes González,1984-04-01,F,Tierra Amarilla,ISAPRE,2025-09-18 19:40:31.011789,2025-10-03 19:40:31.011789,Fallecimiento,Mariana Evelyn Castro Saldaña,15.0,CIR-127,Cirugía,Básica,S06.9,"Traumatismo intracraneal, no especificado",Neurológico,41,30-44
83,9.987.242-K,Catalina Gómez,1942-05-11,F,Putre,NINGUNA,2025-09-08 02:04:02.011789,2025-09-13 02:04:02.011789,Fallecimiento,Juan Patricio Núñez Letelier,5.0,CIR-084,Cirugía,Básica,K35.9,"Apendicitis aguda, no especificada",Digestivo,83,75+
84,14.406.872-6,Amparo Rosas,1997-05-10,F,Huechuraba,ISAPRE,2025-12-14 13:45:42.011789,2025-12-17 13:45:42.011789,Fallecimiento,Jessica Zapata,3.0,UCI-103,UCI,Alta Complejidad,J44.1,EPOC con exacerbación aguda,Respiratorio,28,15-29
85,9.403.420-5,Facundo León,2002-11-02,M,Putre,FONASA,2025-08-23 15:11:01.011789,2025-09-09 15:11:01.011789,Alta médica,Mariana Evelyn Castro Saldaña,17.0,NEU-169,Neurología,Alta Complejidad,B34.9,"Infección viral, no especificada",Infectológico,22,15-29
86,24.344.520-5,Elvira Berríos,1964-09-21,F,Pica,ISAPRE,2025-04-08 12:44:59.011789,,En curso,Ignacia María Hernández Araya,,NEU-174,Neurología,Alta Complejidad,I21.9,"Infarto agudo al miocardio, no especificado",Cardiovascular,60,60-74
87,16.791.628-7,Jeannette Uribe,1997-04-29,F,Maullín,NINGUNA,2025-11-12 06:46:28.011789,2025-11-14 06:46:28.011789,Alta médica,María Carrasco,2.0,CIR-265,Cirugía,Básica,K92.1,Melena,Digestivo,28,15-29
88,23.267.881-K,Pedro Bustos,1982-06-27,M,El Bosque,NINGUNA,2025-11-17 00:38:50.011789,2025-12-03 00:38:50.011789,Traslado,Josefa Espinoza Jara,16.0,CIR-567,Cirugía,Media,S72.0,Fractura de cuello de fémur,Traumatológico,43,30-44
89,10.113.742-2,Santiago Gutiérrez,1978-07-30,M,Llanquihue,NINGUNA,2025-04-20 16:58:56.011789,2025-04-23 16:58:56.011789,Traslado,David Palacios,3.0,TRA-296,Traumatología,Alta Complejidad,E11.9,Diabetes mellitus tipo 2 sin complicaciones,Metabólico,46,45-59
90,21.312.433-1,Maritza Lorca,1980-05-17,F,Talcahuano,NINGUNA,2025-10-03 03:04:46.011789,2025-10-09 03:04:46.011789,Alta médica,María Patricia Araya Gatica,6.0,MED-451,Medicina Interna,Alta Complejidad,K92.1,Melena,Digestivo,45,45-59
91,18.181.050-5,Paloma Roa,1947-01-01,F,Saavedra,NINGUNA,2025-05-30 16:18:07.011789,2025-06-15 16:18:07.011789,Traslado,David Palacios,16.0,MED-243,Medicina Interna,Básica,J18.9,"Neumonía, no especificada",Respiratorio,78,75+
92,24.856.947-6,Isaac Orellana,1964-06-07,M,San Fabián,ISAPRE,2025-09-06 21:47:32.011789,2025-09-19 21:47:32.011789,Fallecimiento,Carlos Francisco Rodríguez Salinas,13.0,TRA-563,Traumatología,Media,J18.9,"Neumonía, no especificada",Respiratorio,61,60-74
93,22.219.647-7,Juan Madrid,1998-09-29,M,Quilaco,NINGUNA,2025-05-24 13:10:22.011789,2025-06-03 13:10:22.011789,Alta voluntaria,Mariana Evelyn Castro Saldaña,10.0,NEU-199,Neurología,Media,I50.9,"Insuficiencia cardíaca, no especificada",Cardiovascular,26,15-29
94,19.478.630-1,Emilio Inostroza,1975-07-11,M,Río Bueno,ISAPRE,2025-04-14 12:06:19.011789,2025-04-25 12:06:19.011789,Alta médica,David Palacios,11.0,TRA-020,Traumatología,Media,G40.9,"Epilepsia, no especificada",Neurológico,49,45-59
95,8.940.261-1,Isidora Hernández,2001-12-25,F,Punitaqui,ISAPRE,2026-01-20 19:05:10.011789,2026-02-05 19:05:10.011789,Alta voluntaria,Josefa Espinoza Jara,16.0,MED-249,Medicina Interna,Media,A09.9,Gastroenteritis infecciosa,Infectológico,24,15-29
